N°AUTO;NOM ETABLISSEMENT;ECRANS;FAUTEUILS;CODE COMMUNE;COMMUNE;GENRE;ART ET ESSAI;ECRANS 3D
723680;CGR MY PLACE SARCELLES;10;1 817;95585;Sarcelles;FIXE;NON;OUI
723760;PATHE;9;1 894;91377;Massy;FIXE;NON;OUI
724000;CINE PINCE VENT;8;1 606;94019;Chennevières-sur-Marne;FIXE;NON;NON
724120;UGC CINE CITE VELIZY;18;3 814;78640;Vélizy-Villacoublay;FIXE;NON;NON
724320;UGC CINE CITE PARLY;12;2 200;78158;Le Chesnay;FIXE;NON;NON
724440;KINEPOLIS SERVON;9;1 209;77450;SERVON;FIXE;NON;NON
10184;REX;3;511;80001;Abbeville;FIXE;NON;OUI
10192;CGR ABBEVILLE LA SUCRERIE;8;1 209;80001;Abbeville;FIXE;NON;OUI
11101;LE FOYER;2;268;35001;Acigné;FIXE;OUI;OUI
11854;CINEMA DE L'ESPACE;1;79;50003;Agon-Coutainville;FIXE;OUI;OUI
12101;L AIGLON;1;490;61214;L' Aigle;FIXE;OUI;OUI
12612;CINEMA MODERNE;1;286;36001;Aigurande;FIXE;OUI;NON
14033;LE CASINO;2;360;80016;Albert;FIXE;NON;OUI
14445;PLANET'CINE;7;1 199;61001;Alençon;FIXE;OUI;NON
15682;SALLE POLYVALENTE;1;600;72003;Allonnes;ITINERANT;NON;NON
16803;CINEA;2;354;37003;Amboise;FIXE;NON;OUI
17303;STUDIO ORSON WELLES;1;175;80021;Amiens;FIXE;OUI;NON
17325;CINE SAINT LEU;1;254;80021;Amiens;FIXE;OUI;NON
17326;GAUMONT;12;2 682;80021;Amiens;FIXE;NON;OUI
17803;EDEN 3;3;549;44003;Ancenis;FIXE;OUI;NON
18291;PALACE;3;407;27016;Les Andelys;FIXE;NON;OUI
18701;NORMANDIE;1;250;28007;Anet;FIXE;NON;NON
18861;LES 400 COUPS;7;811;49007;Angers;FIXE;OUI;OUI
18866;PATHE;12;2 522;49007;Angers;FIXE;NON;OUI
23241;NORMANDY;3;534;61006;Argentan;FIXE;OUI;NON
23513;EDEN PALACE;1;187;36006;Argenton-sur-Creuse;FIXE;OUI;OUI
23541;CIN EVASION;1;158;35006;Argentré-du-Plessis;FIXE;OUI;OUI
23561;L'ARGENTIS;1;126;18011;Argent-sur-Sauldre;FIXE;NON;OUI
25722;CIRCUIT 1;1;100;45008;Artenay;ITINERANT;OUI;NON
26402;LA LOCOMOTIVE;2;246;56005;Arzon;FIXE;NON;NON
28732;ATOMIC;1;163;18015;Aubigny-sur-Nère;FIXE;OUI;OUI
29373;CINE GOYEN;1;516;29003;Audierne;FIXE;OUI;OUI
30482;CHANTECLER;1;181;76035;Aumale;FIXE;NON;OUI
30761;CINEMA PARADISO THEATRE;1;199;14027;Les Monts d'Aunay;FIXE;OUI;OUI
30891;TI HANOK;5;866;56007;Auray;FIXE;OUI;NON
32651;MEGA CGR CASINO;8;1 593;89024;Auxerre;FIXE;OUI;OUI
33122;VAUBAN;2;451;89025;Avallon;FIXE;OUI;OUI
34182;STAR;3;617;50025;Avranches;FIXE;OUI;OUI
36071;CASINO DU LAC;1;346;61483;Bagnoles de l'Orne Normandie;FIXE;OUI;OUI
36602;LE SCENARIO;2;294;35012;Bain-de-Bretagne;FIXE;OUI;OUI
39174;THEATRE MONTDORY;1;345;76057;Barentin;FIXE;NON;OUI
39662;SELECT;1;270;50031;Barneville-Carteret;FIXE;OUI;OUI
40293;LE VAGABOND;2;439;10033;Bar-sur-Aube;FIXE;OUI;OUI
40708;CINE POLE SUD;9;1 506;44009;Basse-Goulaine;FIXE;NON;OUI
41781;LE CELTIC;1;255;56010;Baud;FIXE;OUI;OUI
42011;STELLA CINE;1;203;49018;Baugé-en-Anjou;FIXE;OUI;NON
42075;GULF STREAM;5;804;44055;La Baule-Escoublac;FIXE;NON;OUI
42621;MELIES;3;444;14047;Bayeux;FIXE;OUI;NON
44042;CINEMA DE BEAUFORT EN VALLEE;1;144;49021;Beaufort-en-Anjou;FIXE;OUI;NON
44131;CINEMA LE DUNOIS;1;200;45028;Beaugency;FIXE;OUI;NON
45372;CINEMA JEANNE D ARC;1;160;49023;Beaupréau-en-Mauges;FIXE;OUI;NON
45876;AGNES VARDA;1;205;60057;Beauvais;FIXE;OUI;NON
45877;CGR BEAUVAIS;12;2 110;60057;Beauvais;FIXE;OUI;OUI
49632;CINEMARINE;2;326;29006;Bénodet;FIXE;OUI;OUI
50833;REX;1;268;27056;Bernay;FIXE;OUI;NON
50901;SALLE JEANNE D ARC;1;218;44012;La Bernerie-en-Retz;FIXE;NON;NON
53461;TRISKEL;1;183;35024;Betton;FIXE;OUI;NON
57221;CINEMA ST LAURENT;1;285;44015;Blain;FIXE;OUI;NON
57473;STUDIO REPUBLIQUE;2;253;36018;Le Blanc;FIXE;OUI;OUI
58735;LES LOBIS;3;683;41018;Blois;FIXE;OUI;OUI
58773;CAP' CINE;11;2 152;41018;Blois;FIXE;NON;OUI
58841;L AMBIANCE;1;117;14079;Blonville-sur-Mer;FIXE;NON;NON
59351;LOUIS JOUVET;1;142;2095;Bohain-en-Vermandois;FIXE;NON;NON
61082;LE XENON;2;495;76114;Bolbec;FIXE;NON;OUI
65861;LE BEAULIEU;1;338;44020;Bouguenais;FIXE;OUI;OUI
